Entry	Entry name	Status	Protein names	Gene names	Organism	Length	yourlist:M2017100483C3DD8CE55183C76102DC5D3A26728BEC41F24
P0AEG6	DSBC_ECOLI	reviewed	Thiol:disulfide interchange protein DsbC	dsbC xprA b2893 JW2861	Escherichia coli (strain K12)	236	P21892
P0A8L3	SYS_ECO57	reviewed	Serine--tRNA ligase (EC 6.1.1.11) (Seryl-tRNA synthetase) (SerRS) (Seryl-tRNA(Ser/Sec) synthetase)	serS Z1239 ECs0978	Escherichia coli O157:H7	430	P09156
P0A8L4	SYS_SHIFL	reviewed	Serine--tRNA ligase (EC 6.1.1.11) (Seryl-tRNA synthetase) (SerRS) (Seryl-tRNA(Ser/Sec) synthetase)	serS SF0852 S0893	Shigella flexneri	430	P09156
P0A8L1	SYS_ECOLI	reviewed	Serine--tRNA ligase (EC 6.1.1.11) (Seryl-tRNA synthetase) (SerRS) (Seryl-tRNA(Ser/Sec) synthetase)	serS b0893 JW0876	Escherichia coli (strain K12)	430	P09156
P0A8L2	SYS_ECOL6	reviewed	Serine--tRNA ligase (EC 6.1.1.11) (Seryl-tRNA synthetase) (SerRS) (Seryl-tRNA(Ser/Sec) synthetase)	serS c1030	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	430	P09156
P0ABH9	CLPA_ECOLI	reviewed	ATP-dependent Clp protease ATP-binding subunit ClpA	clpA lopD b0882 JW0866	Escherichia coli (strain K12)	758	P15716
P0ABI0	CLPA_ECOL6	reviewed	ATP-dependent Clp protease ATP-binding subunit ClpA	clpA c1019	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	758	P15716
P0ABI1	CLPA_ECO57	reviewed	ATP-dependent Clp protease ATP-binding subunit ClpA	clpA Z1119 ECs0968	Escherichia coli O157:H7	758	P15716
P37330	MASZ_ECOLI	reviewed	Malate synthase G (MSG) (EC 2.3.3.9)	glcB glc b2976 JW2943	Escherichia coli (strain K12)	723	P37330
P40191	PDXK_ECOLI	reviewed	Pyridoxine/pyridoxal/pyridoxamine kinase (PN/PL/PM kinase) (EC 2.7.1.35) (B6-vitamer kinase) (Pyridoxal kinase 1) (PL kinase 1)	pdxK yfeI b2418 JW2411	Escherichia coli (strain K12)	283	P40191
P35340	AHPF_ECOLI	reviewed	Alkyl hydroperoxide reductase subunit F (EC 1.8.1.-) (Alkyl hydroperoxide reductase F52A protein)	ahpF b0606 JW0599	Escherichia coli (strain K12)	521	P35340
P0A9X6	MREB_SALTY	reviewed	Rod shape-determining protein MreB	mreB STM3374	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	347	P13519
P0A9X7	MREB_SALTI	reviewed	Rod shape-determining protein MreB	mreB STY3554 t3289	Salmonella typhi	347	P13519
P0A9X4	MREB_ECOLI	reviewed	Rod shape-determining protein MreB	mreB envB rodY b3251 JW3220	Escherichia coli (strain K12)	347	P13519
P0A9X5	MREB_ECOL6	reviewed	Rod shape-determining protein MreB	mreB c4006	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	347	P13519
P0A9X8	MREB_SHIFL	reviewed	Rod shape-determining protein MreB	mreB SF3289 S3506	Shigella flexneri	347	P13519
P0AFM2	PROX_ECOLI	reviewed	Glycine betaine/proline betaine-binding periplasmic protein (GBBP)	proX proU b2679 JW2654	Escherichia coli (strain K12)	330	P14177
P0AFM3	PROX_ECO57	reviewed	Glycine betaine/proline betaine-binding periplasmic protein	proX Z3981 ECs3542	Escherichia coli O157:H7	330	P14177
P0AB69	PNTB_ECO57	reviewed	NAD(P) transhydrogenase subunit beta (EC 1.6.1.2) (Nicotinamide nucleotide transhydrogenase subunit beta) (Pyridine nucleotide transhydrogenase subunit beta)	pntB Z2597 ECs2308	Escherichia coli O157:H7	462	P07002
P0AB67	PNTB_ECOLI	reviewed	NAD(P) transhydrogenase subunit beta (EC 1.6.1.2) (Nicotinamide nucleotide transhydrogenase subunit beta) (Pyridine nucleotide transhydrogenase subunit beta)	pntB b1602 JW1594	Escherichia coli (strain K12)	462	P07002
P0AB68	PNTB_ECOL6	reviewed	NAD(P) transhydrogenase subunit beta (EC 1.6.1.2) (Nicotinamide nucleotide transhydrogenase subunit beta) (Pyridine nucleotide transhydrogenase subunit beta)	pntB c1994	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	462	P07002
P0AB70	PNTB_SHIFL	reviewed	NAD(P) transhydrogenase subunit beta (EC 1.6.1.2) (Nicotinamide nucleotide transhydrogenase subunit beta) (Pyridine nucleotide transhydrogenase subunit beta)	pntB SF1623 S1755	Shigella flexneri	462	P07002
P02925	RBSB_ECOLI	reviewed	Ribose import binding protein RbsB	rbsB prlB rbsP b3751 JW3730	Escherichia coli (strain K12)	296	P02925
P21507	SRMB_ECOLI	reviewed	ATP-dependent RNA helicase SrmB (EC 3.6.4.13)	srmB rbaB rhlA b2576 JW2560	Escherichia coli (strain K12)	444	P21507
P0C8J7	GATY_ECOLX	reviewed	D-tagatose-1,6-bisphosphate aldolase subunit GatY (TBPA) (TagBP aldolase) (EC 4.1.2.40) (D-tagatose-bisphosphate aldolase class II) (Tagatose-bisphosphate aldolase)	gatY	Escherichia coli	284	P37192
P0C8J6	GATY_ECOLI	reviewed	D-tagatose-1,6-bisphosphate aldolase subunit GatY (TBPA) (TagBP aldolase) (EC 4.1.2.40) (D-tagatose-bisphosphate aldolase class II) (Tagatose-bisphosphate aldolase)	gatY yegF b2096 JW5343	Escherichia coli (strain K12)	284	P37192
P0A733	MGSA_SHIFL	reviewed	Methylglyoxal synthase (MGS) (EC 4.2.3.3)	mgsA SF0965 S1031	Shigella flexneri	152	P37066
P0A731	MGSA_ECOLI	reviewed	Methylglyoxal synthase (MGS) (EC 4.2.3.3)	mgsA yccG b0963 JW5129	Escherichia coli (strain K12)	152	P37066
P0A732	MGSA_ECO57	reviewed	Methylglyoxal synthase (MGS) (EC 4.2.3.3)	mgsA Z1314 ECs1047	Escherichia coli O157:H7	152	P37066
P0A7I3	RF1_SHIFL	reviewed	Peptide chain release factor 1 (RF-1)	prfA SF1214 S1298	Shigella flexneri	360	P07011
P0A7I1	RF1_ECOL6	reviewed	Peptide chain release factor 1 (RF-1)	prfA c1669	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	360	P07011
P0A7I2	RF1_ECO57	reviewed	Peptide chain release factor 1 (RF-1)	prfA Z1982 ECs1716	Escherichia coli O157:H7	360	P07011
P0A7I0	RF1_ECOLI	reviewed	Peptide chain release factor RF1 (RF-1)	prfA sueB uar b1211 JW1202	Escherichia coli (strain K12)	360	P07011
P76550	YFFS_ECOLI	reviewed	Uncharacterized protein YffS	yffS b2450	Escherichia coli (strain K12)	269	P76550
P0A8V6	FADR_ECOLI	reviewed	Fatty acid metabolism regulator protein	fadR oleR thdB b1187 JW1176	Escherichia coli (strain K12)	239	P09371
P0A8V9	FADR_SHIFL	reviewed	Fatty acid metabolism regulator protein	fadR SF1176 S1264	Shigella flexneri	239	P09371
P0A8V7	FADR_ECOL6	reviewed	Fatty acid metabolism regulator protein	fadR c1635	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	239	P09371
P0A8V8	FADR_ECO57	reviewed	Fatty acid metabolism regulator protein	fadR Z1950 ECs1682	Escherichia coli O157:H7	239	P09371
P0AB00	YCAR_SHIFL	reviewed	UPF0434 protein YcaR	ycaR SF0913 S0977	Shigella flexneri	60	P75844
P0AAZ8	YCAR_ECOL6	reviewed	UPF0434 protein YcaR	ycaR c1058	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	60	P75844
P0AAZ9	YCAR_ECO57	reviewed	UPF0434 protein YcaR	ycaR Z1263 ECs1000	Escherichia coli O157:H7	60	P75844
P0AAZ7	YCAR_ECOLI	reviewed	UPF0434 protein YcaR	ycaR b0917 JW0900	Escherichia coli (strain K12)	60	P75844
P23930	LNT_ECOLI	reviewed	Apolipoprotein N-acyltransferase (ALP N-acyltransferase) (EC 2.3.1.-) (Copper homeostasis protein CutE)	lnt cutE b0657 JW0654	Escherichia coli (strain K12)	512	P23930
P0A9M7	XGPT_SHIFL	reviewed	Xanthine phosphoribosyltransferase (EC 2.4.2.22) (Xanthine-guanine phosphoribosyltransferase) (XGPRT)	gpt SF0286 S0307	Shigella flexneri	152	P00501
P0A9M5	XGPT_ECOLI	reviewed	Xanthine phosphoribosyltransferase (EC 2.4.2.22) (Xanthine-guanine phosphoribosyltransferase) (XGPRT)	gpt gpp gxu b0238 JW0228	Escherichia coli (strain K12)	152	P00501
P0A9M6	XGPT_ECO57	reviewed	Xanthine phosphoribosyltransferase (EC 2.4.2.22) (Xanthine-guanine phosphoribosyltransferase) (XGPRT)	gpt Z0299 ECs0265	Escherichia coli O157:H7	152	P00501
P37329	MODA_ECOLI	reviewed	Molybdate-binding periplasmic protein	modA b0763 JW0746	Escherichia coli (strain K12)	257	P37329
P0A827	GLYA_SHIFL	reviewed	Serine hydroxymethyltransferase (SHMT) (Serine methylase) (EC 2.1.2.1)	glyA SF2598 S2770	Shigella flexneri	417	P00477
P0A825	GLYA_ECOLI	reviewed	Serine hydroxymethyltransferase (SHMT) (Serine methylase) (EC 2.1.2.1)	glyA b2551 JW2535	Escherichia coli (strain K12)	417	P00477
P0A826	GLYA_ECOL6	reviewed	Serine hydroxymethyltransferase (SHMT) (Serine methylase) (EC 2.1.2.1)	glyA c3073	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	417	P00477
P11557	DAMX_ECOLI	reviewed	Cell division protein DamX	damX yhfB b3388 JW3351	Escherichia coli (strain K12)	428	P11557
P0AA17	OMPR_ECOL6	reviewed	Transcriptional regulatory protein OmpR	ompR c4181	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	239	P03025
P0AA18	OMPR_ECO57	reviewed	Transcriptional regulatory protein OmpR	ompR Z4760 ECs4247	Escherichia coli O157:H7	239	P03025
P0AA16	OMPR_ECOLI	reviewed	Transcriptional regulatory protein OmpR	ompR kmt ompB b3405 JW3368	Escherichia coli (strain K12)	239	P03025
P0AA20	OMPR_SALTI	reviewed	Transcriptional regulatory protein OmpR	ompR STY4294 t4004	Salmonella typhi	239	P03025
P0AA21	OMPR_SHIFL	reviewed	Transcriptional regulatory protein OmpR	ompR SF3424 S4339	Shigella flexneri	239	P03025
P0AA19	OMPR_SALTY	reviewed	Transcriptional regulatory protein OmpR	ompR STM3502	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	239	P03025
P0AE93	CREA_ECO57	reviewed	Protein CreA (Catabolite regulation protein A)	creA Z6000 ECs5355	Escherichia coli O157:H7	157	P08367
P0AE94	CREA_SHIFL	reviewed	Protein CreA (Catabolite regulation protein A)	creA SF4429 S4700	Shigella flexneri	157	P08367
P0AE91	CREA_ECOLI	reviewed	Protein CreA (Catabolite regulation protein A)	creA yjjD b4397 JW4360	Escherichia coli (strain K12)	157	P08367
P0AE92	CREA_ECOL6	reviewed	Protein CreA (Catabolite regulation protein A)	creA c5484	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	157	P08367
P77718	THII_ECOLI	reviewed	tRNA sulfurtransferase (EC 2.8.1.4) (Sulfur carrier protein ThiS sulfurtransferase) (Thiamine biosynthesis protein ThiI) (tRNA 4-thiouridine synthase)	thiI yajK b0423 JW0413	Escherichia coli (strain K12)	482	P77718
P0A935	MLTA_ECOLI	reviewed	Membrane-bound lytic murein transglycosylase A (EC 4.2.2.n1) (Mlt38) (Murein hydrolase A)	mltA mlt ygdM b2813 JW2784	Escherichia coli (strain K12)	365	P46885
P0A936	MLTA_ECO57	reviewed	Membrane-bound lytic murein transglycosylase A (EC 4.2.2.n1) (Mlt38) (Murein hydrolase A)	mltA Z4130 ECs3673	Escherichia coli O157:H7	365	P46885
P77561	YDEP_ECOLI	reviewed	Protein YdeP	ydeP b1501 JW1495	Escherichia coli (strain K12)	759	P77561
P04805	SYE_ECOLI	reviewed	Glutamate--tRNA ligase (EC 6.1.1.17) (Glutamyl-tRNA synthetase) (GluRS)	gltX b2400 JW2395	Escherichia coli (strain K12)	471	P04805
P33221	PURT_ECOLI	reviewed	Formate-dependent phosphoribosylglycinamide formyltransferase (5'-phosphoribosylglycinamide transformylase 2) (Formate-dependent GAR transformylase) (EC 2.1.2.-) (GAR transformylase 2) (GART 2) (Non-folate glycinamide ribonucleotide transformylase) (Phosphoribosylglycinamide formyltransferase 2)	purT b1849 JW1838	Escherichia coli (strain K12)	392	P33221
P63224	GMHA_ECOLI	reviewed	Phosphoheptose isomerase (EC 5.3.1.28) (Sedoheptulose 7-phosphate isomerase)	gmhA lpcA tfrA yafI b0222 JW0212	Escherichia coli (strain K12)	192	P51001
P63225	GMHA_ECO57	reviewed	Phosphoheptose isomerase (EC 5.3.1.28) (Sedoheptulose 7-phosphate isomerase)	gmhA lpcA Z0280 ECs0249	Escherichia coli O157:H7	192	P51001
P63226	GMHA_ECOL6	reviewed	Phosphoheptose isomerase (EC 5.3.1.28) (Sedoheptulose 7-phosphate isomerase)	gmhA c0372	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	192	P51001
P63227	GMHA_SHIFL	reviewed	Phosphoheptose isomerase (EC 5.3.1.28) (Sedoheptulose 7-phosphate isomerase)	gmhA SF0272 S0293	Shigella flexneri	192	P51001
P23721	SERC_ECOLI	reviewed	Phosphoserine aminotransferase (EC 2.6.1.52) (Phosphohydroxythreonine aminotransferase) (PSAT)	serC pdxC pdxF b0907 JW0890	Escherichia coli (strain K12)	362	P23721
P08200	IDH_ECOLI	reviewed	Isocitrate dehydrogenase [NADP] (IDH) (EC 1.1.1.42) (IDP) (NADP(+)-specific ICDH) (Oxalosuccinate decarboxylase)	icd icdA icdE b1136 JW1122	Escherichia coli (strain K12)	416	P08200
P13036	FECA_ECOLI	reviewed	Fe(3+) dicitrate transport protein FecA (Iron(III) dicitrate transport protein FecA)	fecA b4291 JW4251	Escherichia coli (strain K12)	774	P13036
P15977	MALQ_ECOLI	reviewed	4-alpha-glucanotransferase (EC 2.4.1.25) (Amylomaltase) (Disproportionating enzyme) (D-enzyme)	malQ malA b3416 JW3379	Escherichia coli (strain K12)	694	P15977
P0A913	PAL_ECO57	reviewed	Peptidoglycan-associated lipoprotein	pal Z0909 ECs0776	Escherichia coli O157:H7	173	P07176
P0A914	PAL_SHIFL	reviewed	Peptidoglycan-associated lipoprotein	pal SF0556 S0569	Shigella flexneri	173	P07176
P0A912	PAL_ECOLI	reviewed	Peptidoglycan-associated lipoprotein	pal excC b0741 JW0731	Escherichia coli (strain K12)	173	P07176
P0AAT8	IOJAP_SHIFL	reviewed	Ribosomal silencing factor RsfS	rsfS ybeB SF0644 S0666	Shigella flexneri	105	P05848
P0AAT6	IOJAP_ECOLI	reviewed	Ribosomal silencing factor RsfS	rsfS rsfA slm3 ybeB b0637 JW5090	Escherichia coli (strain K12)	105	P05848
P0AAT7	IOJAP_ECOL6	reviewed	Ribosomal silencing factor RsfS	rsfS ybeB c0728	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	105	P05848
P0AAD6	SDAC_ECOLI	reviewed	Serine transporter	sdaC dcrA b2796 JW2767	Escherichia coli (strain K12)	429	P36559
P0AAD7	SDAC_ECO57	reviewed	Serine transporter	sdaC Z4113 ECs3656	Escherichia coli O157:H7	429	P36559
P0AAI7	FABF_ECO57	reviewed	3-oxoacyl-[acyl-carrier-protein] synthase 2 (EC 2.3.1.179) (3-oxoacyl-[acyl-carrier-protein] synthase II) (Beta-ketoacyl-ACP synthase II) (KAS II)	fabF Z1734 ECs1473	Escherichia coli O157:H7	413	P39435
P0AAI8	FABF_SHIFL	reviewed	3-oxoacyl-[acyl-carrier-protein] synthase 2 (EC 2.3.1.179) (3-oxoacyl-[acyl-carrier-protein] synthase II) (Beta-ketoacyl-ACP synthase II) (KAS II)	fabF SF1099 S1179	Shigella flexneri	413	P39435
P0AAI5	FABF_ECOLI	reviewed	3-oxoacyl-[acyl-carrier-protein] synthase 2 (EC 2.3.1.179) (3-oxoacyl-[acyl-carrier-protein] synthase II) (Beta-ketoacyl-ACP synthase II) (KAS II)	fabF fabJ b1095 JW1081	Escherichia coli (strain K12)	413	P39435
P0AAI6	FABF_ECOL6	reviewed	3-oxoacyl-[acyl-carrier-protein] synthase 2 (EC 2.3.1.179) (3-oxoacyl-[acyl-carrier-protein] synthase II) (Beta-ketoacyl-ACP synthase II) (KAS II)	fabF c1365	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	413	P39435
P06149	DLD_ECOLI	reviewed	Quinone-dependent D-lactate dehydrogenase (EC 1.1.5.12) ((R)-lactate:quinone 2-oxidoreductase) (D-lactate dehydrogenase) (D-LDH) (Respiratory D-lactate dehydrogenase)	dld b2133 JW2121	Escherichia coli (strain K12)	571	P06149
P37648	YHJJ_ECOLI	reviewed	Protein YhjJ	yhjJ b3527 JW3495	Escherichia coli (strain K12)	498	P37648
P0ABQ0	COABC_ECOLI	reviewed	Coenzyme A biosynthesis bifunctional protein CoaBC (DNA/pantothenate metabolism flavoprotein) [Includes: Phosphopantothenoylcysteine decarboxylase (PPCDC) (EC 4.1.1.36) (CoaC); Phosphopantothenate--cysteine ligase (EC 6.3.2.5) (CoaB) (PPC synthetase) (PPCS) (Phosphopantothenoylcysteine synthase)]	coaBC dfp b3639 JW5642	Escherichia coli (strain K12)	406	P24285
P0ABQ1	COABC_ECOL6	reviewed	Coenzyme A biosynthesis bifunctional protein CoaBC (DNA/pantothenate metabolism flavoprotein) [Includes: Phosphopantothenoylcysteine decarboxylase (PPCDC) (EC 4.1.1.36) (CoaC); Phosphopantothenate--cysteine ligase (EC 6.3.2.5) (CoaB) (PPC synthetase) (PPCS) (Phosphopantothenoylcysteine synthase)]	coaBC dfp c4463	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	406	P24285
P07862	DDLB_ECOLI	reviewed	D-alanine--D-alanine ligase B (EC 6.3.2.4) (D-Ala-D-Ala ligase B) (D-alanylalanine synthetase B)	ddlB ddl b0092 JW0090	Escherichia coli (strain K12)	306	P07862
P68767	AMPA_ECOLI	reviewed	Cytosol aminopeptidase (EC 3.4.11.1) (Aminopeptidase A/I) (Leucine aminopeptidase) (LAP) (EC 3.4.11.10) (Leucyl aminopeptidase)	pepA carP xerB b4260 JW4217	Escherichia coli (strain K12)	503	P11648
P68768	AMPA_ECO57	reviewed	Cytosol aminopeptidase (EC 3.4.11.1) (Aminopeptidase A/I) (Leucine aminopeptidase) (LAP) (EC 3.4.11.10) (Leucyl aminopeptidase)	pepA carP xerB Z5872 ECs5237	Escherichia coli O157:H7	503	P11648
P68766	AMPA_ECOL6	reviewed	Cytosol aminopeptidase (EC 3.4.11.1) (Aminopeptidase A/I) (Leucine aminopeptidase) (LAP) (EC 3.4.11.10) (Leucyl aminopeptidase)	pepA carP xerB c5360	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	503	P11648
P13024	FDHE_ECOLI	reviewed	Protein FdhE	fdhE b3891 JW3862	Escherichia coli (strain K12)	309	P13024
P0A6I2	KCY_ECO57	reviewed	Cytidylate kinase (CK) (EC 2.7.4.25) (Cytidine monophosphate kinase) (CMP kinase)	cmk mssA Z1256 ECs0993	Escherichia coli O157:H7	227	P23863
P0A6I0	KCY_ECOLI	reviewed	Cytidylate kinase (CK) (EC 2.7.4.25) (Cytidine monophosphate kinase) (CMP kinase) (Protein MssA) (p25)	cmk mssA ycaF ycaG b0910 JW0893	Escherichia coli (strain K12)	227	P23863
P0A6I1	KCY_ECOL6	reviewed	Cytidylate kinase (CK) (EC 2.7.4.25) (Cytidine monophosphate kinase) (CMP kinase)	cmk mssA c1048	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	227	P23863
P0A7E0	PUR7_SHIFL	reviewed	Phosphoribosylaminoimidazole-succinocarboxamide synthase (EC 6.3.2.6) (SAICAR synthetase)	purC SF2519 S2669	Shigella flexneri	237	P21155
P0A7D8	PUR7_ECOL6	reviewed	Phosphoribosylaminoimidazole-succinocarboxamide synthase (EC 6.3.2.6) (SAICAR synthetase)	purC c3004	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	237	P21155
P0A7D9	PUR7_ECO57	reviewed	Phosphoribosylaminoimidazole-succinocarboxamide synthase (EC 6.3.2.6) (SAICAR synthetase)	purC Z3735 ECs3338	Escherichia coli O157:H7	237	P21155
P0A7D7	PUR7_ECOLI	reviewed	Phosphoribosylaminoimidazole-succinocarboxamide synthase (EC 6.3.2.6) (SAICAR synthetase)	purC b2476 JW2461	Escherichia coli (strain K12)	237	P21155
P0AG91	SECD_ECO57	reviewed	Protein translocase subunit SecD	secD Z0507 ECs0459	Escherichia coli O157:H7	615	P19673
P0AG92	SECD_SHIFL	reviewed	Protein translocase subunit SecD	secD SF0345 S0353	Shigella flexneri	615	P19673
P0AG90	SECD_ECOLI	reviewed	Protein translocase subunit SecD (Sec translocon accessory complex subunit SecD)	secD b0408 JW0398	Escherichia coli (strain K12)	615	P19673
P67762	YHBP_ECOLI	reviewed	UPF0306 protein YhbP	yhbP b3154 JW3123	Escherichia coli (strain K12)	147	P45471
P67763	YHBP_SHIFL	reviewed	UPF0306 protein YhbP	yhbP SF3195 S3412	Shigella flexneri	147	P45471
P0A7W5	RS5_SALTI	reviewed	30S ribosomal protein S5	rpsE STY4375 t4082	Salmonella typhi	167	P02356
P0A7W6	RS5_SHIFL	reviewed	30S ribosomal protein S5	rpsE SF3335 S4427	Shigella flexneri	167	P02356
P0A7W3	RS5_ECO57	reviewed	30S ribosomal protein S5	rpsE Z4673 ECs4168	Escherichia coli O157:H7	167	P02356
P0A7W4	RS5_SALTY	reviewed	30S ribosomal protein S5	rpsE STM3423	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	167	P02356
P0A7W1	RS5_ECOLI	reviewed	30S ribosomal protein S5 (Small ribosomal subunit protein uS5)	rpsE spc b3303 JW3265	Escherichia coli (strain K12)	167	P02356
P0A7W2	RS5_ECOL6	reviewed	30S ribosomal protein S5	rpsE c4065	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	167	P02356
P17117	NFSA_ECOLI	reviewed	Oxygen-insensitive NADPH nitroreductase (EC 1.-.-.-) (Modulator of drug activity A)	nfsA mda18 mdaA ybjB b0851 JW0835	Escherichia coli (strain K12)	240	P17117
P69829	PTSN_ECOLI	reviewed	Nitrogen regulatory protein (EC 2.7.1.-) (Enzyme IIA-NTR) (PTS system EIIA component) (Phosphotransferase enzyme IIA component)	ptsN rpoP yhbI b3204 JW3171	Escherichia coli (strain K12)	163	P31222
P69815	PTSN_SHIFL	reviewed	Nitrogen regulatory protein (Enzyme IIA-NTR) [Includes: Phosphotransferase enzyme IIA component (EC 2.7.1.-) (PTS system EIIA component)]	ptsN rpoP SF3244 S3462	Shigella flexneri	163	P31222
P0AG66	RS17_SHIFL	reviewed	30S ribosomal protein S17	rpsQ SF3343 S4419	Shigella flexneri	84	P02373
P0AG64	RS17_ECOL6	reviewed	30S ribosomal protein S17	rpsQ c4076	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	84	P02373
P0AG65	RS17_ECO57	reviewed	30S ribosomal protein S17	rpsQ Z4681 ECs4176	Escherichia coli O157:H7	84	P02373
P0AG63	RS17_ECOLI	reviewed	30S ribosomal protein S17 (Small ribosomal subunit protein uS17)	rpsQ neaA b3311 JW3273	Escherichia coli (strain K12)	84	P02373
P17315	CIRA_ECOLI	reviewed	Colicin I receptor	cirA cir feuA b2155 JW2142	Escherichia coli (strain K12)	663	P17315
P0AD12	YEEZ_ECOLI	reviewed	Protein YeeZ	yeeZ b2016 JW1998	Escherichia coli (strain K12)	274	P76370
P0AD13	YEEZ_ECO57	reviewed	Protein YeeZ	yeeZ Z3178 ECs2818	Escherichia coli O157:H7	274	P76370
Q52280	KLEE1_ECOLX	reviewed	Protein KleE (KcrB3 protein)	kleE kcrB3	Escherichia coli	109	Q52280
P0A8W8	YFBU_ECOLI	reviewed	UPF0304 protein YfbU	yfbU b2294 JW2291	Escherichia coli (strain K12)	164	P76492
P0A8W9	YFBU_ECOL6	reviewed	UPF0304 protein YfbU	yfbU c2835	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	164	P76492
Q46829	BGLA_ECOLI	reviewed	6-phospho-beta-glucosidase BglA (EC 3.2.1.86) (Phospho-beta-glucosidase A)	bglA bglD yqfC b2901 JW2869	Escherichia coli (strain K12)	479	Q46829
P77395	YBBN_ECOLI	reviewed	Uncharacterized protein YbbN	ybbN b0492 JW5067	Escherichia coli (strain K12)	284	P77395
P23839	YICC_ECOLI	reviewed	UPF0701 protein YicC	yicC b3644 JW3619	Escherichia coli (strain K12)	287	P23839
P0A7K9	RL19_SHIFL	reviewed	50S ribosomal protein L19	rplS SF2666 S2843	Shigella flexneri	115	P02420
P0A7K7	RL19_ECOL6	reviewed	50S ribosomal protein L19	rplS c3127	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	115	P02420
P0A7K8	RL19_ECO57	reviewed	50S ribosomal protein L19	rplS Z3900 ECs3469	Escherichia coli O157:H7	115	P02420
P0A7K6	RL19_ECOLI	reviewed	50S ribosomal protein L19 (Large ribosomal subunit protein bL19)	rplS b2606 JW2587	Escherichia coli (strain K12)	115	P02420
P00490	PHSM_ECOLI	reviewed	Maltodextrin phosphorylase (EC 2.4.1.1)	malP b3417 JW5689	Escherichia coli (strain K12)	797	P00490
P0A9P8	DEAD_SHIFL	reviewed	ATP-dependent RNA helicase DeaD (EC 3.6.4.13) (Cold-shock DEAD box protein A)	deaD SF3203 S3420	Shigella flexneri	629	P23304
P0A9P6	DEAD_ECOLI	reviewed	ATP-dependent RNA helicase DeaD (EC 3.6.4.13) (Cold-shock DEAD box protein A) (Translation factor W2)	deaD csdA mssB rhlD b3162 JW5531	Escherichia coli (strain K12)	629	P23304
P0A9P7	DEAD_ECOL6	reviewed	ATP-dependent RNA helicase DeaD (EC 3.6.4.13) (Cold-shock DEAD box protein A)	deaD c3916	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	629	P23304
P76272	YEBT_ECOLI	reviewed	Uncharacterized protein YebT	yebT b1834 JW1823	Escherichia coli (strain K12)	877	P76272
P0AE79	CORC_ECOL6	reviewed	Magnesium and cobalt efflux protein CorC	corC c0743	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	292	P77392
P0AE78	CORC_ECOLI	reviewed	Magnesium and cobalt efflux protein CorC	corC ybeX b0658 JW0655	Escherichia coli (strain K12)	292	P77392
P0AE80	CORC_ECO57	reviewed	Magnesium and cobalt efflux protein CorC	corC Z0807 ECs0696	Escherichia coli O157:H7	292	P77392
P0AE81	CORC_SHIFL	reviewed	Magnesium and cobalt efflux protein CorC	corC SF0624 S0646	Shigella flexneri	292	P77392
P0AD34	YFCZ_ECOL6	reviewed	UPF0381 protein YfcZ	yfcZ c2888	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	94	P76504
P0AD33	YFCZ_ECOLI	reviewed	UPF0381 protein YfcZ	yfcZ b2343 JW2340	Escherichia coli (strain K12)	94	P76504
P0A991	ALF1_ECOLI	reviewed	Fructose-bisphosphate aldolase class 1 (EC 4.1.2.13) (Fructose-bisphosphate aldolase class I) (FBP aldolase)	fbaB dhnA b2097 JW5344	Escherichia coli (strain K12)	350	P71295
